coded2,coded1
R4024.png,A15
R2002.png,A15_2.png
R3054.png,A15_3.png
R5058.png,A15_5.png
R6013.png,A15_6.png
P042.PNG,A18_1.PNG
R5007.png,A18_5.png
R6051.png,A18_6.png
R4041.png,A21
P045.PNG,A21_1.PNG
R2022.png,A21_2.png
R3093.png,A21_3.png
R6055.png,A21_6.png
R4021.png,A24
R3072.png,A24_3.png
R5048.png,A24_5.png
R6075.png,A24_6.png
P027.PNG,A27_1.PNG
R3035.png,A27_3.png
R6070.png,A27_6.png
R4077.png,A33
P026.PNG,A33_1.PNG
R5040.png,A33_5.png
R6060.png,A33_6.png
R4047.png,A36
P010.PNG,A36_1.PNG
R2006.png,A36_2.png
R3067.png,A36_3.png
R4012.png,A39
R3031.png,A39_3.png
R5031.png,A39_5.png
R6025.png,A39_6.png
R4007.png,A42
P056.PNG,A42_1.PNG
R3018.png,A42_3.png
R5003.png,A42_5.png
R6022.png,A42_6.png
R4001.png,A45
P062.PNG,A45_1.PNG
R2017.png,A45_2.png
R3005.png,A45_3.png
R5042.png,A45_5.png
R6068.png,A45_6.png
R4031.png,A48
P057.PNG,A48_1.PNG
R2051.png,A48_2.png
R6014.png,A48_6.png
R4053.png,A51
R2013.png,A51_2.png
R3026.png,A51_3.png
R5047.png,A51_5.png
R6029.png,A51_6.png
P046.PNG,B15_1.PNG
R3102.png,B15_3.png
P005.PNG,B18_1.PNG
R3064.png,B18_3.png
R6038.png,B18_6.png
R4068.png,B21
P002.PNG,B21_1.PNG
R2065.png,B21_2.png
R3083.png,B21_3.png
R5019.png,B21_5.png
R6009.png,B21_6.png
R4015.png,B24
P043.PNG,B24_1.PNG
R2012.png,B24_2.png
R6052.png,B24_6.png
R4046.png,B27
R5072.png,B27_5.png
R6036.png,B27_6.png
R4035.png,B30
R2015.png,B30_2.png
R3090.png,B30_3.png
R5046.png,B30_5.png
R6076.png,B30_6.png
R4013.png,B33
P012.PNG,B33_1.PNG
R2064.png,B33_2.png
R3065.png,B33_3.png
R6015.png,B33_6.png
R4030.png,B36
P006.PNG,B36_1.PNG
R2024.png,B36_2.png
R3030.png,B36_3.png
R5041.png,B36_5.png
R6063.png,B36_6.png
R4033.png,B39
P055.PNG,B39_1.PNG
R2038.png,B39_2.png
R3020.png,B39_3.png
R5016.png,B39_5.png
R6016.png,B39_6.png
P032.PNG,B42_1.PNG
R5015.png,B42_5.png
R6056.png,B42_6.png
R4043.png,B45
R4063.png,B45
R2031.png,B45_2.png
R3024.png,B45_3.png
R6021.png,B45_6.png
P008.PNG,B48_1.PNG
R3013.png,B48_3.png
R5006.png,B48_5.png
R6008.png,B48_6.png
R4028.png,B51
P028.PNG,B51_1.PNG
R2061.png,B51_2.png
R3044.png,B51_3.png
R5034.png,B51_5.png
R6047.png,B51_6.png
R4051.png,C15
R2059.png,C15_2.png
R3041.png,C15_3.png
R5069.png,C15_5.png
R6012.png,C15_6.png
R4054.png,C18
P064.PNG,C18_1.PNG
R2009.png,C18_2.png
R3040.png,C18_3.png
R6049.png,C18_6.png
P019.PNG,C21_1.PNG
R3028.png,C21_3.png
R5012.png,C21_5.png
P030.PNG,C24_1.PNG
R2041.png,C24_2.png
R3043.png,C24_3.png
R5057.png,C24_5.png
R6018.png,C24_6.png
R4006.png,C27
P047.PNG,C27_1.PNG
R5026.png,C27_5.png
R6072.png,C27_6.png
R4009.png,C30
R2028.png,C30_2.png
R3017.png,C30_3.png
R5036.png,C30_5.png
R6057.png,C30_6.png
R4005.png,C33
R6045.png,C33_6.png
R4061.png,C36
P051.PNG,C36_1.PNG
R3096.png,C36_3.png
R6023.png,C36_6.png
P050.PNG,C39_1.PNG
R2023.png,C39_2.png
R3011.png,C39_3.png
R5032.png,C39_5.png
R6006.png,C39_6.png
R4032.png,C42
P035.PNG,C42_1.PNG
R2062.png,C42_2.png
R3075.png,C42_3.png
R5020.png,C42_5.png
R6004.png,C42_6.png
R4052.png,C45
P054.PNG,C45_1.PNG
R2026.png,C45_2.png
R3074.png,C45_3.png
P015.PNG,C48_1.PNG
R2030.png,C48_2.png
R5035.png,C48_5.png
R2020.png,C51_2.png
R3086.png,C51_3.png
R4079.png,D15
P004.PNG,D15_1.PNG
R2042.png,D15_2.png
R3088.png,D15_3.png
R5050.png,D15_5.png
R6067.png,D15_6.png
P025.PNG,D18_1.PNG
R2004.png,D18_2.png
R3081.png,D18_3.png
R5005.png,D18_5.png
R4002.png,D21
P031.PNG,D21_1.PNG
R2018.png,D21_2.png
R5056.png,D21_5.png
R3039.png,D24_3.png
R6028.png,D24_6.png
R4057.png,D27
P049.PNG,D27_1.PNG
R2046.png,D27_2.png
R5029.png,D27_5.png
P022.PNG,D30_1.PNG
R2045.png,D30_2.png
R4044.png,D39
R2034.png,D39_2.png
R3068.png,D39_3.png
R6061.png,D39_6.png
R3073.png,D42_3.png
R2032.png,D45_2.png
R5060.png,D45_5.png
R6040.png,D45_6.png
P034.PNG,D51_1.PNG
R2057.png,D51_2.png
R3058.png,D51_3.png
R5055.png,D51_5.png
R6059.png,D51_6.png
R4064.png,E15
P014.PNG,E15_1.PNG
R2039.png,E15_2.png
R3007.png,E15_3.png
R5074.png,E15_5.png
R6035.png,E15_6.png
P060.PNG,E18_1.PNG
R2053.png,E18_2.png
R3097.png,E18_3.png
R5001.png,E18_5.png
R6034.png,E18_6.png
P044.PNG,E21_1.PNG
R3101.png,E21_3.png
R5011.png,E21_5.png
R6062.png,E21_6.png
R6026.png,E24_6.png
R4039.png,E27
R2050.png,E27_2.png
R5071.png,E27_5.png
P007.PNG,E30_1.PNG
R2052.png,E30_2.png
R3084.png,E30_3.png
R6005.png,E30_6.png
R4070.png,E33
R2048.png,E33_2.png
R3038.png,E33_3.png
R5067.png,E33_5.png
R3052.png,E36_3.png
R5063.png,E36_5.png
R4045.png,E39
P020.PNG,E39_1.PNG
R3099.png,E39_3.png
R6078.png,E39_6.png
R2035.png,E42_2.png
R3006.png,E42_3.png
R4016.png,E45
R3066.png,E45_3.png
R5053.png,E45_5.png
R4071.png,E48
P029.PNG,E48_1.PNG
R3032.png,E48_3.png
R5066.png,E48_5.png
R6042.png,E48_6.png
R1701.PNG,E51_1.PNG
R1702.PNG,E51_2.PNG
R1703.PNG,E51_3.PNG
R1704.PNG,E51_4.PNG
R1705.PNG,E51_5.PNG
R1706.PNG,E51_6.PNG
R4078.png,F15
R2027.png,F15_2.png
R3037.png,F15_3.png
R6037.png,F15_6.png
R4058.png,F18
R2036.png,F18_2.png
R5004.png,F18_5.png
P024.PNG,F21_1.PNG
R3070.png,F21_3.png
R5033.png,F21_5.png
R6010.png,F21_6.png
R4014.png,F24
P003.PNG,F24_1.PNG
R2019.png,F24_2.png
R3098.png,F24_3.png
R5027.png,F24_5.png
R6002.png,F24_6.png
R4042.png,F27
P059.PNG,F27_1.PNG
R2025.png,F27_2.png
R3036.png,F27_3.png
R5025.png,F27_5.png
R6003.png,F27_6.png
R4004.png,F30
P063.PNG,F30_1.PNG
R2058.png,F30_2.png
R3050.png,F30_3.png
R5021.png,F30_5.png
R6073.png,F30_6.png
R4055.png,F33
P058.PNG,F33_1.PNG
R5038.png,F33_5.png
R6054.png,F33_6.png
R4049.png,F36
R2044.png,F36_2.png
R3059.png,F36_3.png
R5022.png,F36_5.png
R6048.png,F36_6.png
R4060.png,F42
P067.PNG,F42_1.PNG
R5010.png,F42_5.png
R6041.png,F42_6.png
R2021.png,F45_2.png
R5062.png,F45_5.png
R6032.png,F45_6.png
R4076.png,F48
R2056.png,F48_2.png
R3046.png,F48_3.png
R5051.png,F48_5.png
R6007.png,F48_6.png
R1712.PNG,F51_2.PNG
R1713.PNG,F51_3.PNG
R1715.PNG,F51_5.PNG
R1716.PNG,F51_6.PNG
R4059.png,G21
P041.PNG,G21_1.PNG
R2055.png,G21_2.png
R5028.png,G21_5.png
R6069.png,G21_6.png
R4020.png,G24
P036.PNG,G24_1.PNG
R2063.png,G24_2.png
R3045.png,G24_3.png
R5052.png,G24_5.png
R6033.png,G24_6.png
R4065.png,G27
P011.PNG,G27_1.PNG
R3094.png,G27_3.png
R5070.png,G27_5.png
R6071.png,G27_6.png
R4056.png,G30
P065.PNG,G30_1.PNG
R2016.png,G30_2.png
R3008.png,G30_3.png
R5017.png,G30_5.png
R6019.png,G30_6.png
P001.PNG,G33_1.PNG
R3001.png,G33_3.png
R5045.png,G33_5.png
R6064.png,G33_6.png
R4040.png,G36
P023.PNG,G36_1.PNG
R2008.png,G36_2.png
R3010.png,G36_3.png
R5068.png,G36_5.png
R6046.png,G36_6.png
R4027.png,G39
P052.PNG,G39_1.PNG
R2029.png,G39_2.png
R3016.png,G39_3.png
R5043.png,G39_5.png
R6030.png,G39_6.png
R4050.png,G42
P021.PNG,G42_1.PNG
R2011.png,G42_2.png
R3057.png,G42_3.png
R5049.png,G42_5.png
R6058.png,G42_6.png
P061.PNG,G45_1.PNG
R6027.png,G45_6.png
P066.PNG,G48_1.PNG
R3015.png,G48_3.png
R5018.png,G48_5.png
P040.PNG,G51_1.PNG
R2040.png,G51_2.png
R3019.png,G51_3.png
R5009.png,G51_5.png
R6011.png,G51_6.png
R2001.png,H15_2.png
